Nombre del Tratado,Bilateral,Lugar de Adopcion,Fecha de Adopcion,Estados-Organismos,Temas,Naturaleza del Tratado,Depositario,Suscribio Por Colombia,Vigente,Fecha Ley Aprobatoria,Numero Ley Aprobatoria,Sentencia Fecha Ley,Sentencia Numero,Decreto Fecha Diario Oficial,Decreto Numero Diario Oficial
ACUERDO DE RECONOCIMIENTO MUTUO DE TITULOS ENTRE LA REPUBLICA DE COLOMBIA Y EL REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE,SI,LONDRES,02/11/2016,REINO UNIDO DE GRAN BRETAÑA E IRLANDA DEL NORTE,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),MINISTRA DE RELACIONES EXTERIORES - MARIA ANGELA HOLGUIN CUELLAR,SI,(NO REGISTRA),(NO REGISTRA),21/05/2019,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO DE COOPERACION INTERNACIONAL ENTRE EL GOBIERNO DE COLOMBIA Y LA UNESCO RELATIVO AL CENTRO REGIONAL PARA EL FOMENTO DEL LIBRO EN AMERICA LATINA Y EL CARIBE (CERLALC),NO,PARIS,01/08/1984,ORGANIZACIÓN DE LAS NACIONES UNIDAS PARA LA EDUCACION LA CIENCIA Y LA CULTURA-UNESCO,(NO REGISTRA),TRATADO,CENTRO REGIONAL PARA EL FOMENTO DEL LIBRO EN AMERICA LATINA Y EL CARIBE-CERLALC,GUILLERMO HERNANDEZ RODRIGUEZ- EMBAJADOR DE COLOMBIA ANTE LA UNESCO,SI,20/11/1986,65 DE 1986,02/02/1987,(NO REGISTRA),04/06/1987,1034 DE 1987
CONVENIO DE RECONOCIMIENTO MUTUO DE CERTIFICADOS DE ESTUDIOS TITULOS Y GRADOS ACADEMICOS DE EDUCACION SUPERIOR ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LOS ESTADOS UNIDOS MEXICANOS,SI,CIUDAD DE MEXICO,07/12/1998,MEXICO,(NO REGISTRA),TRATADO,(NO REGISTRA),GUILLERMO FERNANDEZ DE SOTO MINISTRO DE RELACIONES EXTERIORES,SI,14/07/2000,596 DE 2000,24/10/2001,C-202/2001,15/07/2002,1468 DE 2002
"CANJE DE NOTAS QUE CONSTITUYE UN ACUERDO RELATIVO AL TRATAMIENTO ADUANERO O LAS CONDICIONES QUE REGIRAN EN CHILE PARA LA IMPORTACIÓN DE CAFE EN GRANO, DE CONFORMIDAD CON EL TRATADO DE COMERCIO DE 1936 ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DE CHILE",SI,BOGOTA,01/09/1941,CHILE,(NO REGISTRA),TRATADO,(NO REGISTRA),LUIS LOPEZ DE MESA MINISTRO DE RELACIONES EXTERIORES,SI,04/12/1941,117 DE 1941,11/08/1942,(NO REGISTRA),(NO REGISTRA),2682 DE 1942
CONVENIO CULTURAL COLOMBO PANAMEÑO,SI,PANAMA,03/04/1960,PANAMA,(NO REGISTRA),TRATADO,(NO REGISTRA),ALBERTO LLERAS CAMARGO - PRESIDENTE DE LA REPUBLICA,NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENCION SOBRE INTERCAMBIO CULTURAL ENTRE COLOMBIA Y FRANCIA,SI,BOGOTA,31/07/1952,FRANCIA,(NO REGISTRA),TRATADO,(NO REGISTRA),(NO REGISTRA),SI,12/11/1959,75 DE 1959,13/02/1961,(NO REGISTRA),09/09/1985,2584 DE 1985
TRATADO SOBRE TRASLADO DE PERSONAS CONDENADAS PARA LA EJECUCION DE SENTENCIAS PENALES ENTRE LA REPUBLICA DE COLOMBIA Y LOS ESTADOS UNIDOS MEXICANOS,SI,CIUDAD DE MEXICO,01/08/2011,MEXICO,(NO REGISTRA),TRATADO,(NO REGISTRA),MARIA ANGELA HOLGUIN MINISTRA DE RELACIONES EXTERIORES,NO,16/12/2013,1688 DE 2013,(NO REGISTRA),C-585,(NO REGISTRA),(NO REGISTRA)
"ACUERDO ENTRE LA REPUBLICA DE COLOMBIA Y LA REPUBLICA DEL PERU PARA LA PREVENCION, INVESTIGACION, PERSECUCION DEL DELITO DE LA TRATA DE PERSONAS Y PARA LA ASISTENCIA Y PROTECCION A SUS VICTIMAS",SI,LIMA,25/05/2015,PERU,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),MINISTRA DE RELACIONES EXTERIORES - MARIA ANGELA HOLGUIN CUELLAR,SI,(NO REGISTRA),(NO REGISTRA),27/06/2018,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
MEMORANDUM DE ENTENDIMIENTO ENTRE LOS GOBIERNOS DE VENEZUELA Y COLOMBIA RELATIVO A LA TRANSFERENCIA PARCIAL DE LA CUOTA BANANERA VENEZOLANA ASIGNADA EN EL ACUERDO MARCO SOBRE BANANO,SI,BOGOTA,18/07/1995,VENEZUELA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),DANIEL MAZUERA GOMEZ MINISTRO COMERCIO EXTERIOR,NO,(NO REGISTRA),(NO REGISTRA),18/07/1995,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO DE FINANCIACION NO DCI-ALA/2015/38-302 CONVENIO DE FINANCIACION ENTRE LA UNION EUROPEA Y LA REPUBLICA DE COLOMBIA CONTRATO REFORMA DE REFORMA SECTORIAL PARA LA COMPETITIVIDAD ESTRATEGICA TERRITORIAL EN COLOMBIA,NO,BOGOTA,26/08/2016,UNIÓN EUROPEA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),MINISTRA DE RELACIONES EXTERIORES - MARIA ANGELA HOLGUIN CUELLAR,SI,(NO REGISTRA),(NO REGISTRA),26/08/2016,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
