Nombre del Tratado,Bilateral,Lugar de Adopcion,Fecha de Adopcion,Estados-Organismos,Temas,Naturaleza del Tratado,Depositario,Suscribio Por Colombia,Vigente,Fecha Ley Aprobatoria,Numero Ley Aprobatoria,Sentencia Fecha Ley,Sentencia Numero,Decreto Fecha Diario Oficial,Decreto Numero Diario Oficial
ACUERDO DE ASISTENCIA RECIPROCA ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DE ECUADOR PARA LA PREVENECION CONTROL Y REPRESION DEL USO Y TRAFICO ILICITO DE ESTUPEFACIENTES Y SUSTANCIAS SICOTROPICAS,SI,QUITO,07/04/1992,ECUADOR,(NO REGISTRA),TRATADO,(NO REGISTRA),NOEMI SANIN MINISTRA DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO ENTRE LA REPUBLICA DE COLOMBIA Y LA REPUBLICA DEL PERU SOBRE EXONERACION DE DERECHOS POR AUTENTICACION CERTIFICACION O LEGALIZACION DE FIRMAS PARA ESTUDIANTES,SI,BOGOTA,26/11/2002,PERU,(NO REGISTRA),TRATADO,(NO REGISTRA),CAROLINA BARCO MINISTRA DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO ENTRE LA REPÚBLICA DE COLOMBIA Y LA UNIÓN EUROPEA SOBRE EXENCIÓN DE VISADOS PARA ESTANCIAS DE CORTA DURACIÓN,SI,BRUSELAS,02/12/2015,UNIÓN EUROPEA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),MINISTRA DE RELACIONES EXTERIORES - MARIA ANGELA HOLGUIN CUELLAR,SI,(NO REGISTRA),(NO REGISTRA),01/01/2017,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO ENTRE LA REPUBLICA DE COLOMBIA Y LA REPUBLICA ARGENTINA EN MATERIA DE PREVENCION DE LA APROPIACION IMPORTACION EXPORTACION Y TRANSFERENCIA ILICITAS DE BIENES CULTURALES,SI,COLOMBIA,20/09/2012,ARGENTINA,(NO REGISTRA),TRATADO,(NO REGISTRA),MARIA ANGELA HOLGUIN CUELLAR-MINISTRA DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),03/04/2015,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
TRATADO DE EXTRADICION ENTRE LA REPUBLICA DE COLOMBIA Y LA REPUBLICA DE VENEZUELA,SI,CARTAGENA DE INDIAS,25/08/1985,VENEZUELA,(NO REGISTRA),TRATADO,(NO REGISTRA),ILEGIBLE,NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
"CONVENCION DE LAS NACIONES UNIDAS DE LUCHA CONTRA LA DESERTIFICACION EN LOS PAISES AFECTADOS POR SEQUIA GRAVE O DESERTIFICACION, EN PARTICULAR EN AFRICA",NO,PARIS,14/10/1994,ORGANIZACIÓN DE LAS NACIONES UNIDAS-ONU,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE LAS NACIONES UNIDAS-ONU,(NO REGISTRA),SI,04/08/1998,461 DE 1998,06/09/1999,C-229/1999,(NO REGISTRA),(NO REGISTRA)
CONVENIO BASICO DE COOPERACION TECNICA Y CIENTIFICA ENTRE LA REPUBLICA DE COLOMBIA Y LA REPUBLICA DE NICARAGUA,SI,BOGOTA,28/06/1991,NICARAGUA,(NO REGISTRA),TRATADO,(NO REGISTRA),LUIS FERNANDO JARAMILLO MINISTRO DE RELACIONES INTERNACIONALES,NO,26/06/2000,604 DE 2000,(NO REGISTRA),C-303/2001,(NO REGISTRA),(NO REGISTRA)
ACUERDO SOBRE C.A.B. INTERNACIONAL (COMMONWEALTH AGRICULTURAL BUREAU),NO,LONDRES,08/07/1986,OFICINA DE AGRICULTURA DE LA MANCOMUNIDAD DE NACIONES-CABI,(NO REGISTRA),TRATADO,GRAN BRETAÑA,(NO REGISTRA),SI,03/11/1993,83 DE 1993,09/03/1995,333 DE 1994,12/01/1986,81 DE 1996
CONVENCION INTERAMERICANA SOBRE EL DERECHO DE AUTOR EN OBRAS LITERARIAS CIENTIFICAS Y ARTISTICAS,NO,WASHINGTON,22/06/1946,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,CARLOS HOLGUIN HOLGUIN,SI,23/11/1970,06 DE 1970,04/01/1972,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO DE CREACION DE LA ASOCIACION DE PAISES PRODUCTORES DE CAFE,NO,BRASIL,24/09/1993,ORGANIZACIÓN INTERNACIONAL DEL CAFÉ-OIC,(NO REGISTRA),TRATADO,BRASIL,JUAN MANUEL SANTOS - MINISTRO DE COMERCIO EXTERIOR,SI,06/06/1995,189 DE 1995,20/09/1995,C-354/1995,14/03/1996,0507 DE1996
ENMIENDA DE 1984 AL ANEXO DEL PROTOCOLO DE 1978 RELATIVO AL CONVENIO INTERNACIONAL PARA PREVENIR LA CONTAMINACION POR LOS BUQUES 1973,NO,LONDRES,07/09/1984,ORGANIZACIÓN MARITIMA INTERNACIONAL-OMI,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,ORGANIZACIÓN MARITIMA INTERNACIONAL-OMI,(NO REGISTRA),SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYE UN ACUERDO PERMITIR EL INTERCAMBIO DE COMUNICACIONES DE O A TERCERAS PARTES DURANTE EL PERIODO DEL 3 DE JULIIO DE 1976 A AGOSTO 15 DE 1976 ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DEL CANADA,SI,BOGOTA,02/02/1976,CANADA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),INDALECIO LIEVANO AGUIRRE MINISTRO DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),02/02/1976,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENCION DE VIENA SOBRE LA REPRESENTACION DE LOS ESTADOS EN SUS RELACIONES CON LAS ORGANIZACIONES INTERNACINALES DE CARACTER UNIVERSAL,NO,VIENA,14/03/1975,ORGANIZACIÓN DE LAS NACIONES UNIDAS-ONU,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE LAS NACIONES UNIDAS-ONU,(NO REGISTRA),NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
MEMORANDO DE ENTENDIMIENTO ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LOS ESTADOS UNIDOS DE AMERICA CON EL FIN DE PRESTAR ASISTENCIA EN INVESTIGACIONES Y PROCESOS QUE INVOLUCREN O ESTEN RELACIONADOS CON LA INCAUTACION Y DECOMISO DE BIENES Y UTILIDADES PROVENIENTES DEL TRAFICO ILICITO DE DROGAS NARCOTICAS O SUSTANCIAS SICOTROPICAS O CUALQUIER ACTIVIDAD CONEXA CON ESTE,SI,BOGOTA,24/07/1990,ESTADOS UNIDOS DE AMERICA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),ILEGIBLE,SI,(NO REGISTRA),(NO REGISTRA),24/07/1990,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO DE SEDE ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL COMITE INTERNACIONAL DE LA CRUZ ROJA.,SI,BOGOTA,19/05/1980,COMITÉ INTERNACIONAL DE LA CRUZ ROJA-CICR,(NO REGISTRA),TRATADO,(NO REGISTRA),DIEGO URIBE VARGAS,SI,21/04/1981,42 DE 1981,26/08/1982,(NO REGISTRA),26/08/1982,2492 DE 1982
CONVENCION INTERAMERICANA CONTRA EL TERRORISMO,NO,BRIDGETOWN,03/06/2002,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,ILEGIBLE,SI,27/12/2006,1108 DE 2006,13/08/2008,C- 537 DE 2008,(NO REGISTRA),(NO REGISTRA)
PROTOCOLO FACULTATIVO DE LA CONVENCION SOBRE LOS DERECHOS DEL NIÑO RELATIVO A LA VENTA DE NIÑOS LA PROSTITUCION INFANTIL Y LA UTILIZACION DE LOS NIÑOS EN LA PORNOGRAFIA,SI,NUEVA YORK,25/05/2000,ORGANIZACIÓN DE LAS NACIONES UNIDAS-ONU,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE LAS NACIONES UNIDAS-ONU,ANDRES PASTRANA ARANGO PRESIDENTE DE LA REPUBLICA DE COLOMBIA,SI,31/07/2002,765 DE 2002,11/12/2003,C-318/2003,(NO REGISTRA),(NO REGISTRA)
ACUERDO ENTRE LOS ESTADO MIEMBROS DE LA COMUNIDAD SUDAMERICANA DE NACIONES SOBRE EXENCION DE VISAS DE TURISTA Y HABILITACION DE LOS DOCUMENTOS DE IDENTIDAD PARA EL INGRESO TRANSITO EN SUS RESPECTIVOS TERRITORIOS,NO,SANTIAGO DE CHILE,24/11/2006,ORGANIZACIÓN INTERNACIONAL PARA LAS MIGRACIONES-OIM,(NO REGISTRA),TRATADO,BRASIL,(NO REGISTRA),NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
MEMORANDO DE ENTENDIMIENTO ENTRE LOS GOBIERNOS DEL GRUPO DE ACCION FINANCIERA DE SUDAMERICA CONTRA EL LAVADO DE ACTIVOS (GASIFUD),NO,CARTAGENA,08/12/2000,GRUPO DE ACCIÓN FINANCIERA DE SUDAMÉRICA CONTRA EL LAVADO DE ACTIVOS–GAFISUD,(NO REGISTRA),TRATADO,GRUPO DE ACCIÓN FINANCIERA DE SUDAMÉRICA CONTRA EL LAVADO DE ACTIVOS–GAFISUD,(NO REGISTRA),NO,11/05/2009,1186 DE 2009,(NO REGISTRA),C-685 DE 2009,(NO REGISTRA),(NO REGISTRA)
ACUERDO DE DONACION DE OBJETIVOS DE DESARROLLO ENTRE LOS ESTADOS UNIDOS DE AMERICA Y LA REPUBLICA DE COLOMBIA PARA EXTENDER LA PRESENCIA DEL ESTADO RECONCILIACION CRECIMIENTO ECONOMICO DEL CAMPO RECUPERACION AMBIENTAL USAID 514 - DOAG - 514-012 ENMIENDA 7,SI,BOGOTA,02/04/2018,ESTADOS UNIDOS DE AMERICA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),MINISTRA DE RELACIONES EXTERIORES - MARIA ANGELA HOLGUIN CUELLAR,SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO SOBRE LA IGUALDAD DE OPORTUNIDADES Y TRATO ENTRE TRABAJADORES Y TRABJADORAS. TRABAJADORES CON RESPONSBILIDADES FAMILIARES,SI,GINEBRA,23/06/1981,ORGANIZACIÓN INTERNACIONAL DEL TRABAJO-OIT,(NO REGISTRA),TRATADO,(NO REGISTRA),(NO REGISTRA),NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ENMIENDA N 17 AL CONVENIO DE ASISTENCIA AL PAIS AID NO 514-011 SUSCRITO EL 8 DE ABRIL DE 2009 ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LOS ESTADOS UNIDOS DE AMERICA,SI,BOGOTA,12/12/2013,ESTADOS UNIDOS DE AMERICA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),MINISTRA DE RELACIONES EXTERIORES - MARIA ANGELA HOLGUIN CUELLAR,SI,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYE UN ACUERDO SOBRE PROMOCION DEL DESARROLLO SOSTENIBLE DE LA REGION FONTERIZA COLOMBO-PANAMEÑA ESTABLECIDA EN EL MEMORANDO DE ENTENDIMIENTO SUSCRITO EL 18 DE DICIEMBRE DE 2002 EN EL CUAL SE ESTABLECE EN EL ARTICULO 7 QUE CADA PARTE ESTABLECERA EL GRUPO TECNICO DE TRABAJO NECESARIO ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DE PANAMA.,SI,BOGOTA,28/04/2003,PANAMA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),HARMODIO ARIAS CERJACK - MINISTRO DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),28/04/2003,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
MODIFICACION DEL MEMORANDO DE ENTENDIMIENTO ENTRE LOS GOBIERNOS DE LOS ESTADOS DEL GRUPO DE ACCION FINANCIERA DE SUDAMERICA CONTRA EL LAVADO DE ACTIVOS - GAFISUD,NO,BRASILIA,21/07/2006,GRUPO DE ACCIÓN FINANCIERA DE SUDAMÉRICA CONTRA EL LAVADO DE ACTIVOS–GAFISUD,(NO REGISTRA),TRATADO,OTROS,(NO REGISTRA),SI,11/05/2009,1186 DE 2009,(NO REGISTRA),C-685 DE 2009,(NO REGISTRA),(NO REGISTRA)
CONVENIO CELEBRADO ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DEL ECUADOR PARA LA CONSTRUCCION DEL PUENTE INTERNACIONAL SOBRE EL RIO MATAJE Y LOS CENTROS NACIONALES DE ATENCION EN FRONTERA- CENAF,SI,BOGOTA,18/12/1996,ECUADOR,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),ERNESTO SAMPER PIZANO PRESIDENTE DE LA REPUBLICA,NO,(NO REGISTRA),(NO REGISTRA),02/01/1997,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
"ADDENDUM N° 3 AL CONVENIO DE FINANCIACION ESPECIFICO ENTRE LA UNION EUROPEA Y LA REPUBLICA DE COLOMBIA, FORTALECIMIENTO INSTITUCIONAL DE LA CAPACIDAD NACIONAL COLOMBIANA DE ACCION DE MINAS ALA/2004/016-898",SI,BRUSELAS,04/09/2010,UNIÓN EUROPEA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),MARIA ANGELA HOLGUIN CUELLAR - MINISTRO DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),04/11/2010,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ADDENDUM NO. 1 AL CONVENIO DE FINANCIACION ESPECIFICO ENTRE LA COMUNIDAD EUROPEA Y LA REPUBLICA DE COLOMBIA FORTALECIMIENTO DEL SECTOR JUSTICIA PARA LA REDUCCION DE LA IMPUNIDAD EN COLOMBIA ALA/2004/016-831,SI,BOGOTA,07/04/2006,COMUNIDAD EUROPEA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),CAROLINA BARCO- MINISTRA DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),07/04/2006,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
"AGENCIA PARA EL DESARROLLO INTERNACIONAL DE LOS ESTADOS UNIDOS, CONVENIO DE ASISTENCIA AL PAIS, CONVENIO DE ASISTENCIA AID NO. CAP 514-011 ENMIENDA NO. TRES ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LOS ESTADOS UNIDOS DE AMERICA",SI,BOGOTA,30/09/2009,ESTADOS UNIDOS DE AMERICA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),JAIME BERMUDEZ MINISTRO DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),30/09/2009,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO ENTRE LA SECRETARIA GENERAL DE LA ORGANIZACION DE LOS ESTADOS AMERICANOS Y EL GOBIERNO DE LA REOUBLICA DE COLOMBIA RELATIVO A LOS PRIVILEGIOS E INMUNIDADES DE LOS VEEDORES DE LAS ELECCIONES DE GOBERNADORES ALCALDES CONCEJALES DIPUTADOS Y EDILES DE 30 DE OCTUBRE DE 2011,SI,WASHINGTON,07/10/2011,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),LUIS ALFONSO HOYOS ARISTIZABAL,NO,(NO REGISTRA),(NO REGISTRA),07/10/2011,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
TRATADO DE PAZ Y AMISTAD ENTRE LA REPUBLICA DE COLOMBIA Y EL REINO DE ESPAÑA,SI,PARIS,30/01/1881,ESPAÑA,(NO REGISTRA),TRATADO,(NO REGISTRA),LUIS CARLOS RICO - EL DUQUE DE FERNAN NUÑEZ,SI,19/04/1881,12 DE 1881,12/08/1881,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYE UN ACUERDO SOBRE EL PROYECTO SUPRESION SOBRE LA BASE DE RECIPROCIDAD DE CORTA DURACION Y LAS VISAS DE SALIDA ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DE LA REPUBLICA FRANCESA,SI,BOGOTA,05/12/1984,FRANCIA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),(NO REGISTRA),NO,(NO REGISTRA),(NO REGISTRA),05/12/1984,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
PROTOCOLO SOBRE COOPERACION PREPARACION Y LUCHA CONTRA LOS SUCESOS DE CONTAMINACION POR SUSTANCIAS NOCIVAS Y POTENCIALMENTE PELIGROSAS 2000,NO,LONDRES,15/03/2000,ORGANIZACIÓN MARITIMA INTERNACIONAL-OMI,(NO REGISTRA),TRATADO,ORGANIZACIÓN MARITIMA INTERNACIONAL-OMI,(NO REGISTRA),SI,04/06/2004,885 DE 2004,11/09/2008,C-150/2005,(NO REGISTRA),(NO REGISTRA)
CONVENCION DE LAS NACIONES UNIDAS SOBRE EL RECONOCIMIENTO Y EJECUCION DE SENTENCIAS ARBITRALES EXTRANJERAS,NO,NUEVA YORK,10/06/1958,ORGANIZACIÓN DE LAS NACIONES UNIDAS-ONU,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE LAS NACIONES UNIDAS-ONU,(NO REGISTRA),SI,20/11/1990,39 DE 1990,23/12/1979,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO DE COOPERACION CULTURAL ENTRE LA REPUBLICA DE COLOMBIA Y LA REPUBLICA DE PANAMA,SI,BOGOTA,11/09/1984,PANAMA,(NO REGISTRA),TRATADO,(NO REGISTRA),AUGUSTO RAMIREZ OCAMPO - MINISTRO DE RELACIONES EXTERIORES,SI,19/12/1986,74 DE 1986,15/06/1992,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
TRATADO DE LA OMPI SOBRE INTERPRETACION O EJECUCION Y FONOGRAMAS (WPPT),NO,GINEBRA,20/12/1996,ORGANIZACIÓN MUNDIAL DE LA PROPIEDAD INTELECTUAL-OMPI,(NO REGISTRA),TRATADO,ORGANIZACIÓN MUNDIAL DE LA PROPIEDAD INTELECTUAL-OMPI,GUSTAVO CASTRO GUERRERO- EMBAJADOR JEFE DE LA MISION PERMANENTE DE COLOMBIA ANTE LA OFICINA DE LAS NACIONES UNIDAS,SI,23/12/1999,545 DE 1999,20/05/2002,C-1139 DE 2000,26/11/2002,2769 DE 2002
ACUERDO COMPLEMENTARIO DE COOPERACION ENERGETICA Y MINERA ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA A TRAVES DEL MINISTERIO DE MINAS Y ENERGIA Y EL GOBIERNO DE LA REPUBLICA DE GUATEMALA A TRAVES DEL MINISTERIO DE ENERGIA Y MINAS,SI,CIUDAD DE GUATEMALA,19/01/2006,GUATEMALA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),LUIS ERNESTO MEJIA CASTRO,NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO SOBRE COOPERACION TECNICA Y ECONOMICA ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DE INDONESIA,SI,YAKARTA,24/10/1996,INDONESIA,(NO REGISTRA),TRATADO,(NO REGISTRA),MARIA EMMA MEJIA MINISTRA DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO INTERAMERICANO SOBRE PERMISO INTERNACIONAL DE RADIOAFICIONADO,NO,MONTROUIS,08/06/1995,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),TRATADO,ORGANIZACIÓN DE ESTADOS AMERICANOS-OEA,(NO REGISTRA),NO,02/08/2012,1570 DE 2012,(NO REGISTRA),C-223/2013,(NO REGISTRA),(NO REGISTRA)
"CANJE DE NOTAS QUE CONSTITUYEN UN ACUERDO POR MEDIO DEL CUAL EL CONVENIO COMERCIAL Y DE PAGOS SUSCRITO EL 06 DE DICIEMBRE DE 1973 QUEDARA DEROGADO EL 31 DE JULIO DE 1982, Y EL CAMBIO DEL SERVICIO DE PAGOS ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y LA REPUBLICA DEMOCRATICA DE ALEMANIA",SI,BOGOTA,08/07/1982,ALEMANIA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),CARLOS LEMOS SIMMONDS - MINISTRO DE RELACIONES EXTERIORES,NO,(NO REGISTRA),(NO REGISTRA),08/07/1982,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYE UN ACUERDO SOBRE SUPRESION DE VISADO PARA LOS COLOMBIANOS Y PERUANOS TITULARES DE PASAPORTES ORDINARIOS Y QUE DESEEN VIAJAR AL PERU Y COLOMBIA CON FINES DE TURISMO CULTURA Y DEPORTES POR UN LAPSO DE SESENTA DIAS PRORROGABLES HASTA NOVENTA DIAS ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPUBLICA DEL PERU,SI,LIMA,07/02/1986,PERU,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),AGUSTO RAMIREZ OCAMPO MINISTRO DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),07/02/1986,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS POR EL CUAL SE ACUERDA LA RECIPROCA SUPRESION DE VISAS EN LOS PASAPORTES DIPLOMATICOS CONSULARES Y OFICIALES O EQUIVALENTES ENTRE LA REPUBLICA DE COLOMBIA Y LA REPUBLICA DE PANAMA,SI,CONTADORA,22/07/1985,PANAMA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),AUGUSTO RAMIREZ OCAMPO - MINISTRO DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),22/07/1985,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CANJE DE NOTAS QUE CONSTITUYE UN ACUERDO PARA LA PREVENCION Y CONTROL DE LA FIEBRE AFTOSA ENTRE COLOMBIA Y PANAMA,SI,BOGOTA,11/02/1971,PANAMA,(NO REGISTRA),TRATADO,(NO REGISTRA),ALFREDO VAZQUEZ CARRIZOSA - MINISTRO DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),25/02/1971,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
MEMORANDO DE ENTENDIMIENTO ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y LA ORGANIZACION DE LAS NACIONES UNIDAS PARA LA AGRICULTURA Y LA ALIMENTACION PARA COLABORAR Y APOYAR EN LA EJECUCION DE LA ESTRATEGIA NACIONAL PARA LA CONVENCION MARCO DE LAS NACIONES UNIDAS SOBRE CAMBIO CLIMATICO Y SU PROTOCOLO DE KYOTO EN EL MARCO DE LOS OBJETIVOS DE DESARROLLO DEL MILENIO,SI,ROMA,15/05/2006,ORGANIZACIÓN DE LAS NACIONES UNIDAS PARA LA AGRICULTURA Y LA ALIMENTACION-FAO,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),LUIS CAMILO OSORIO ISAZA - EMBAJADOR REPRESENTANTE PERMANENTE DE COLOMBIA ANTE LA FAO,SI,(NO REGISTRA),(NO REGISTRA),15/05/2006,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
ACUERDO FINANCIERO ENTRE LA COMUNIDAD ECONOMICA EUROPEA Y LA REPUBLICA DE COLOMBIA PROGRAMA DE RECONSTRUCCION DE POPAYAN,SI,BRUSELAS,20/09/1985,COMUNIDAD ECONÓMICA EUROPEA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),ILEGIBLE,NO,(NO REGISTRA),(NO REGISTRA),20/09/1985,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
PROTOCOLO SOBRE ESTABLECIMIENTO DE RELACIONES DIPLOMATICAS ENTRE LA REPUBLICA DE COLOMBIA Y GEORGIA,SI,NUEVA YORK,06/06/1997,GEORGIA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),JULIO LONDOÑO EMBAJADOR EXTRAORDINARIO Y PLENIPOTENCIARIO,SI,(NO REGISTRA),(NO REGISTRA),06/06/1997,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
CONVENIO DE COOPERACION ECONOMICA Y COMERCIAL ENTRE LA REPUBLICA DE COLOMBIA Y LA REPUBLICA DE EL SALVADOR,SI,BOGOTA,27/09/1982,EL SALVADOR,(NO REGISTRA),TRATADO,(NO REGISTRA),RODRIGO LLOREDA CAICEDO - MINISTRO DE RELACIONES EXTERIORES,SI,18/10/1986,26 DE 1983,24/05/1984,(NO REGISTRA),22/01/1992,115 DE 1992
CONVENIO DE DONACION DE OBJETIVOS ESTRATEGICO NO.514-9007 PARA PLANEACION ANALISIS DE POLITICA E IMPLEMENTACION ENMIENDA NO.2 ENTRE EL GOBIERNO DE LA REPUBLICA DE COLOMBIA Y EL GONIERNO DE LOS ESTADOS UNIDOS DE AMERICA,SI,BOGOTA,26/06/2003,ESTADOS UNIDOS DE AMERICA,(NO REGISTRA),ACUERDO PROCEDIMIENTO SIMPLIFICADO,(NO REGISTRA),GUILLERMO FERNANDEZ DE SOTO MINISTRO DE RELACIONES EXTERIORES,SI,(NO REGISTRA),(NO REGISTRA),26/06/2003,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA)
